id,Obesity
31063,26.5
31065,24.0
31067,25.8
31069,
31071,
31073,
31075,
31077,
31079,24.8
31081,27.0
31083,24.6
31085,
31087,24.5
31089,24.4
31091,
31093,28.9
31095,24.0
31097,
31099,24.2
31101,23.6
31103,
31105,
31107,25.5
31109,21.3
31111,23.4
31113,
31115,
31117,
31119,18.5
31121,31.3
31123,23.0
31125,
31127,26.8
31129,24.6
31131,25.1
31133,
31135,18.6
31137,30.9
31139,21.9
31141,20.7
31143,18.9
31145,21.6
31147,28.7
31149,
31151,28.1
31153,25.0
31155,23.6
31157,26.1
31159,21.7
31161,28.2
31163,27.6
31165,
31167,24.5
31169,27.1
31171,
31173,
31175,25.6
31177,28.4
31179,21.3
31181,20.1
31183,
31185,29.0
32001,20.9
32003,21.6
32005,15.6
32007,23.2
32009,
32011,
32013,22.1
32015,23.4
32017,26.5
32019,22.5
32021,30.2
32023,27.7
32027,29.7
32029,
32031,18.0
32033,21.4
32510,19.1
33001,19.8
33003,16.3
33005,21.3
33007,23.6
33009,20.4
33011,20.5
33013,20.0
33015,21.1
33017,20.2
33019,21.8
34001,25.8
34003,16.2
34005,21.8
34007,24.1
34009,19.9
34011,24.5
34013,25.2
34015,22.4
34017,21.2
34019,15.6
34021,19.7
34023,19.1
34025,17.1
34027,16.3
34029,22.8
34031,21.0
34033,26.8
34035,17.1
34037,22.5
34039,20.7
34041,24.5
35001,17.5
35003,16.1
35005,24.1
35006,26.6
35007,20.4
35009,22.4
35011,
35013,22.6
35015,29.9
35017,20.2
35019,20.1
35021,
35023,24.9
35025,27.5
35027,15.6
35028,12.8
35029,25.3
35031,26.8
35033,20.6
35035,24.8
35037,24.8
35039,19.7
35041,20.5
35043,22.9
35045,22.3
35047,21.5
35049,14.7
35051,24.4
35053,19.8
35055,17.7
35057,25.2
35059,15.5
35061,22.0
36001,20.0
36003,
36005,24.4
36007,23.2
36009,19.9
36011,23.6
36013,25.8
36015,27.9
36017,34.0
36019,22.0
36021,25.0
36023,17.3
36025,26.6
36027,20.8
36029,23.9
36031,16.3
36033,24.5
36035,20.5
36037,17.3
36039,20.3
36041,
36043,23.6
36045,25.9
36047,23.0
36049,27.7
36051,20.1
36053,28.1
36055,22.2
36057,23.5
36059,16.6
36061,15.9
36063,25.4
36065,21.1
36067,22.8
36069,19.3
36071,23.9
36073,27.3
36075,26.6
36077,21.1
36079,17.2
36081,17.1
36083,23.0
36085,22.6
36087,18.1
36089,25.0
36091,20.4
36093,25.2
36095,16.9
36097,
36099,23.2
36101,25.5
36103,19.8
36105,22.6
36107,21.7
36109,18.8
36111,22.7
36113,22.6
36115,25.4
36117,24.9
36119,15.2
36121,25.7
36123,
37001,25.1
37003,26.7
37005,
37007,
37009,20.7
37011,16.0
37013,33.8
37015,
37017,33.8
37019,25.8
37021,21.6
37023,26.5
37025,25.1
37027,27.8
37029,
37031,24.5
37033,
37035,24.6
37037,20.3
37039,23.9
37041,
37043,8.3
37045,25.5
37047,30.0
37049,22.5
37051,23.5
37053,17.2
37055,15.9
37057,26.6
37059,23.2
37061,31.2
37063,21.1
37065,34.6
37067,23.0
37069,27.7
37071,28.6
37073,
37075,
37077,27.1
37079,
37081,22.1
37083,34.0
37085,26.5
37087,23.7
37089,19.6
37091,36.9
37093,30.7
37095,
37097,24.3
37099,20.5
37101,25.1
37103,
37105,23.8
37107,25.8
37109,28.6
37111,22.3
37113,16.1
37115,
37117,
37119,20.4
37121,
37123,29.5
37125,27.0
37127,27.3
37129,20.9
37131,33.1
37133,19.0
37135,19.0
37137,19.1
37139,32.7
37141,23.4
37143,
37145,29.0
37147,25.4
37149,
37151,24.7
37153,33.1
37155,31.5
37157,29.3
37159,25.1
37161,19.4
37163,32.1
37165,29.2
37167,20.9
37169,20.6
37171,26.2
37173,26.3
37175,
37177,
37179,28.8
37181,28.7
37183,19.4
37185,
37187,
37189,15.6
37191,25.0
37193,23.1
37195,31.1
37197,22.9
37199,12.1
38001,22.6
38003,24.7
38005,19.0
38007,
38009,22.9
38011,19.8
38013,
38015,20.9
38017,20.9
38019,27.9
38021,20.6
38023,
38025,23.5
38027,19.7
38029,31.4
38031,19.9
38033,
38035,20.7
38037,16.4
38039,16.6
38041,
38043,16.4
38045,21.8
38047,
38049,28.1
38051,34.6
38053,31.8
38055,25.8
38057,28.7
38059,25.6
38061,33.2
38063,29.0
38065,
38067,24.2
38069,22.2
38071,25.8
38073,24.2
38075,17.8
38077,24.8
38079,37.2
38081,23.2
38083,
38085,
38087,
38089,22.6
38091,
38093,25.6
38095,20.4
38097,27.9
38099,19.3
38101,22.5
38103,29.1
38105,24.3
39001,
39003,
39005,13.9
39007,17.8
39009,
39011,
39013,
39015,
39017,28.8
39019,
39021,
39023,35.5
39025,22.4
39027,
39029,19.2
39031,
39033,
39035,23.6
39037,
39039,17.9
39041,20.2
39043,
39045,23.5
39047,
